intézmény megyéje;vizsgázó évfolyama;vizsgázó képzési típusa;vizsgázó neme;vizsga fajtája;vizsgamentesség;vizsga nyelve;érdemjegy;össz százalék;össz pontszám;vizsgázó részvétele;I. rész;II. rész;írásbeli pontszám;az elméleti kérdések összesen;a 3 feladat összesen;matematikai kommunikáció;szóbeli pontszám
Borsod-Abaúj-Zemplén;SZ;szakközép;férfi;rendes;Nem;magyar;1;0;0;megjelent;0;0;0;-;-;-;-
Szabolcs-Szatmár-Bereg;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;rendes;Nem;magyar;1;1;1;megjelent;1;0;1;-;-;-;-
Borsod-Abaúj-Zemplén;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;rendes;Nem;magyar;1;2;2;megjelent;2;0;2;-;-;-;-
Borsod-Abaúj-Zemplén;13;szakközép;nő;rendes;Nem;magyar;1;2;2;megjelent;2;0;2;-;-;-;-
Borsod-Abaúj-Zemplén;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);férfi;rendes;Nem;magyar;1;3;3;megjelent;2;1;3;-;-;-;-
Borsod-Abaúj-Zemplén;12;gimnázium;nő;rendes;Nem;magyar;1;4;4;megjelent;4;0;4;-;-;-;-
Borsod-Abaúj-Zemplén;SZ;szakközép;férfi;rendes;Nem;magyar;1;4;4;megjelent;4;0;4;-;-;-;-
Szabolcs-Szatmár-Bereg;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);férfi;rendes;Nem;magyar;1;5;5;megjelent;2;3;5;-;-;-;-
Bács-Kiskun;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);férfi;rendes;Nem;magyar;1;6;6;megjelent;5;1;6;-;-;-;-
Borsod-Abaúj-Zemplén;12;gimnázium;nő;rendes;Nem;magyar;1;6;6;megjelent;4;2;6;-;-;-;-
Borsod-Abaúj-Zemplén;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;rendes;Nem;magyar;1;6;6;megjelent;3;3;6;-;-;-;-
Borsod-Abaúj-Zemplén;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;rendes;Nem;magyar;1;6;6;megjelent;0;6;6;-;-;-;-
Borsod-Abaúj-Zemplén;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;rendes;Nem;magyar;1;6;6;megjelent;5;1;6;-;-;-;-
Somogy;13;szakközép;férfi;rendes;Nem;magyar;1;6;6;megjelent;5;1;6;-;-;-;-
Szabolcs-Szatmár-Bereg;13;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);férfi;rendes;Nem;magyar;1;6;6;megjelent;5;1;6;-;-;-;-
Szabolcs-Szatmár-Bereg;13;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);férfi;rendes;Nem;magyar;1;6;6;megjelent;3;3;6;-;-;-;-
Somogy;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;rendes;Nem;magyar;1;7;7;megjelent;3;4;7;-;-;-;-
Somogy;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;rendes;Nem;magyar;1;7;7;megjelent;6;1;7;-;-;-;-
Somogy;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);férfi;rendes;Igen;magyar;1;14;7;megjelent;-;-;-;2;5;0;7
Bács-Kiskun;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);férfi;rendes;Nem;magyar;1;8;8;megjelent;5;3;8;-;-;-;-
Borsod-Abaúj-Zemplén;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;rendes;Nem;magyar;1;8;8;megjelent;4;4;8;-;-;-;-
Borsod-Abaúj-Zemplén;13;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);férfi;rendes;Nem;magyar;1;8;8;megjelent;6;2;8;-;-;-;-
Borsod-Abaúj-Zemplén;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);férfi;rendes;Nem;magyar;1;8;8;megjelent;5;3;8;-;-;-;-
Borsod-Abaúj-Zemplén;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;rendes;Nem;magyar;1;8;8;megjelent;5;3;8;-;-;-;-
Borsod-Abaúj-Zemplén;12;gimnázium;nő;rendes;Nem;magyar;1;8;8;megjelent;4;4;8;-;-;-;-
Borsod-Abaúj-Zemplén;12;gimnázium;férfi;rendes;Nem;magyar;1;8;8;megjelent;5;3;8;-;-;-;-
Borsod-Abaúj-Zemplén;2;szakközép;nő;rendes;Nem;magyar;1;8;8;megjelent;7;1;8;-;-;-;-
Borsod-Abaúj-Zemplén;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);férfi;rendes;Nem;magyar;1;8;8;megjelent;4;4;8;-;-;-;-
Szabolcs-Szatmár-Bereg;12;gimnázium;férfi;rendes;Nem;magyar;1;8;8;megjelent;1;7;8;-;-;-;-
Szabolcs-Szatmár-Bereg;13;szakközép;férfi;rendes;Nem;magyar;1;8;8;megjelent;5;3;8;-;-;-;-
Szabolcs-Szatmár-Bereg;13;szakközép;férfi;rendes;Nem;magyar;1;8;8;megjelent;5;3;8;-;-;-;-
Szabolcs-Szatmár-Bereg;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;rendes;Nem;magyar;1;8;8;megjelent;4;4;8;-;-;-;-
Bács-Kiskun;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;előrehozott;Nem;magyar;1;9;9;megjelent;5;4;9;-;-;-;-
Bács-Kiskun;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;rendes;Nem;magyar;1;9;9;megjelent;9;0;9;-;-;-;-
Borsod-Abaúj-Zemplén;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;rendes;Nem;magyar;1;9;9;megjelent;4;5;9;-;-;-;-
Borsod-Abaúj-Zemplén;13;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);férfi;rendes;Nem;magyar;1;9;9;megjelent;7;2;9;-;-;-;-
Borsod-Abaúj-Zemplén;12;gimnázium;férfi;rendes;Nem;magyar;1;9;9;megjelent;4;5;9;-;-;-;-
Borsod-Abaúj-Zemplén;2;szakközép;nő;rendes;Nem;magyar;1;9;9;megjelent;6;3;9;-;-;-;-
Somogy;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);férfi;rendes;Nem;magyar;1;9;9;megjelent;6;3;9;-;-;-;-
Somogy;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;rendes;Nem;magyar;1;9;9;megjelent;7;2;9;-;-;-;-
Szabolcs-Szatmár-Bereg;12;gimnázium;férfi;előrehozott;Nem;magyar;1;9;9;megjelent;7;2;9;-;-;-;-
Bács-Kiskun;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;rendes;Nem;magyar;1;10;10;megjelent;3;7;10;-;-;-;-
Bács-Kiskun;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);férfi;rendes;Nem;magyar;1;10;10;megjelent;7;3;10;-;-;-;-
Borsod-Abaúj-Zemplén;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);férfi;rendes;Nem;magyar;1;10;10;megjelent;9;1;10;-;-;-;-
Borsod-Abaúj-Zemplén;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;rendes;Nem;magyar;1;10;10;megjelent;7;3;10;-;-;-;-
Borsod-Abaúj-Zemplén;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;rendes;Nem;magyar;1;10;10;megjelent;8;2;10;-;-;-;-
Borsod-Abaúj-Zemplén;12;gimnázium;nő;rendes;Nem;magyar;1;10;10;megjelent;5;5;10;-;-;-;-
Borsod-Abaúj-Zemplén;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;rendes;Nem;magyar;1;10;10;megjelent;3;7;10;-;-;-;-
Borsod-Abaúj-Zemplén;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;rendes;Nem;magyar;1;10;10;megjelent;6;4;10;-;-;-;-
Borsod-Abaúj-Zemplén;12;gimnázium;férfi;rendes;Nem;magyar;1;10;10;megjelent;5;5;10;-;-;-;-
Borsod-Abaúj-Zemplén;12;gimnázium;nő;rendes;Nem;magyar;1;10;10;megjelent;6;4;10;-;-;-;-
Somogy;12;gimnázium;férfi;rendes;Nem;magyar;1;10;10;megjelent;7;3;10;-;-;-;-
Somogy;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;rendes;Nem;magyar;1;10;10;megjelent;8;2;10;-;-;-;-
Somogy;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;rendes;Nem;magyar;1;10;10;megjelent;8;2;10;-;-;-;-
Somogy;13;szakközép;nő;rendes;Nem;magyar;1;10;10;megjelent;9;1;10;-;-;-;-
Somogy;13;szakközép;nő;rendes;Nem;magyar;1;10;10;megjelent;8;2;10;-;-;-;-
Bács-Kiskun;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);férfi;rendes;Nem;magyar;1;11;11;megjelent;5;6;11;-;-;-;-
Bács-Kiskun;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;rendes;Nem;magyar;1;11;11;megjelent;8;3;11;-;-;-;-
Bács-Kiskun;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);férfi;rendes;Nem;magyar;1;11;11;megjelent;8;3;11;-;-;-;-
Bács-Kiskun;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;rendes;Nem;magyar;1;11;11;megjelent;8;3;11;-;-;-;-
Borsod-Abaúj-Zemplén;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;rendes;Nem;magyar;1;11;11;megjelent;0;11;11;-;-;-;-
Somogy;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);férfi;rendes;Nem;magyar;1;11;11;megjelent;8;3;11;-;-;-;-
Somogy;13;szakközép;nő;rendes;Nem;magyar;1;11;11;megjelent;6;5;11;-;-;-;-
Szabolcs-Szatmár-Bereg;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;rendes;Nem;magyar;1;8;13;nem jelent meg;-;-;-;-;-;-;-
Borsod-Abaúj-Zemplén;12;gimnázium;férfi;rendes;Nem;magyar;1;9;14;nem jelent meg;-;-;-;-;-;-;-
Borsod-Abaúj-Zemplén;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;rendes;Igen;magyar;2;30;15;megjelent;-;-;-;4;9;2;15
Borsod-Abaúj-Zemplén;12;gimnázium;férfi;rendes;Igen;magyar;2;30;15;megjelent;-;-;-;7;6;2;15
Borsod-Abaúj-Zemplén;13;szakközép;nő;rendes;Igen;magyar;2;30;15;megjelent;-;-;-;7;7;1;15
Bács-Kiskun;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);férfi;rendes;Igen;magyar;2;32;16;megjelent;-;-;-;6;8;2;16
Borsod-Abaúj-Zemplén;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;rendes;Igen;magyar;2;32;16;megjelent;-;-;-;6;9;1;16
Borsod-Abaúj-Zemplén;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);férfi;rendes;Igen;magyar;2;34;17;megjelent;-;-;-;8;8;1;17
Szabolcs-Szatmár-Bereg;13;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;rendes;Igen;magyar;2;34;17;megjelent;-;-;-;5;10;2;17
Somogy;12;gimnázium;férfi;rendes;Igen;magyar;3;44;22;megjelent;-;-;-;5;15;2;22
Borsod-Abaúj-Zemplén;12;gimnázium;nő;rendes;Igen;magyar;3;46;23;megjelent;-;-;-;8;13;2;23
Bács-Kiskun;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;rendes;Nem;magyar;1;16;24;megjelent;9;4;13;3;7;1;11
Szabolcs-Szatmár-Bereg;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);férfi;rendes;Igen;magyar;3;48;24;megjelent;-;-;-;12;10;2;24
Bács-Kiskun;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;rendes;Nem;magyar;2;25;25;megjelent;9;16;25;-;-;-;-
Bács-Kiskun;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;rendes;Nem;magyar;2;25;25;megjelent;13;12;25;-;-;-;-
Bács-Kiskun;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);férfi;rendes;Nem;magyar;2;25;25;megjelent;12;13;25;-;-;-;-
Bács-Kiskun;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;rendes;Nem;magyar;2;25;25;megjelent;9;16;25;-;-;-;-
Bács-Kiskun;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;rendes;Nem;magyar;2;25;25;megjelent;10;15;25;-;-;-;-
Bács-Kiskun;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;rendes;Nem;magyar;2;25;25;megjelent;12;13;25;-;-;-;-
Bács-Kiskun;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;rendes;Nem;magyar;2;25;25;megjelent;15;10;25;-;-;-;-
Bács-Kiskun;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;rendes;Nem;magyar;2;25;25;megjelent;8;17;25;-;-;-;-
Bács-Kiskun;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);férfi;rendes;Nem;magyar;2;25;25;megjelent;11;14;25;-;-;-;-
Bács-Kiskun;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;rendes;Nem;magyar;2;25;25;megjelent;13;12;25;-;-;-;-
Bács-Kiskun;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);nő;rendes;Nem;magyar;2;25;25;megjelent;12;13;25;-;-;-;-
Bács-Kiskun;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);férfi;rendes;Nem;magyar;2;25;25;megjelent;15;10;25;-;-;-;-
Bács-Kiskun;12;szakgimnázium/szakközépiskola (2016.09.01-től kifutó rendszerben);férfi;rendes;Nem;magyar;2;25;25;megjelent;12;13;25;-;-;-;-
